Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,18,0,1982
2,111,0,1871
3,126,0,1745
4,131,0,1614
5,29,0,1585
6,96,0,1489
7,0,511,2000
8,28,0,1972
9,62,0,1910
10,198,0,1712
11,145,0,1567
12,161,0,1406
13,199,0,1207
14,0,793,2000
15,53,0,1947
16,149,0,1798
17,143,0,1655
18,184,0,1471
19,26,0,1445
20,20,0,1425
21,0,575,2000
22,147,0,1853
23,126,0,1727
24,83,0,1644
25,89,0,1555
26,140,0,1415
27,188,0,1227
28,0,773,2000
29,65,0,1935
30,15,0,1920
31,188,0,1732
32,28,0,1704
33,66,0,1638
34,128,0,1510
35,0,490,2000
36,34,0,1966
37,28,0,1938
38,171,0,1767
39,11,0,1756
40,144,0,1612
41,68,0,1544
42,0,456,2000
43,181,0,1819
44,161,0,1658
45,166,0,1492
46,24,0,1468
47,16,0,1452
48,76,0,1376
49,0,624,2000
